customer_id,region,tier
CUST0001,US-WEST,free
CUST0002,US-WEST,standard
CUST0003,MENA,standard
CUST0004,US-WEST,free
CUST0005,APAC,premium
CUST0006,US-EAST,free
CUST0007,US-EAST,premium
CUST0008,EU,premium
CUST0009,MENA,standard
CUST0010,MENA,enterprise
CUST0011,EU,premium
CUST0012,US-WEST,premium
CUST0013,MENA,standard
CUST0014,EU,premium
CUST0015,MENA,standard
CUST0016,MENA,free
CUST0017,US-WEST,premium
CUST0018,MENA,standard
CUST0019,US-WEST,enterprise
CUST0020,EU,standard
CUST0021,APAC,standard
CUST0022,US-WEST,free
CUST0023,APAC,free
CUST0024,US-EAST,free
CUST0025,EU,enterprise
CUST0026,US-EAST,standard
CUST0027,EU,standard
CUST0028,EU,enterprise
CUST0029,US-WEST,enterprise
CUST0030,US-EAST,premium
CUST0031,US-EAST,free
CUST0032,US-WEST,enterprise
CUST0033,APAC,premium
CUST0034,APAC,standard
CUST0035,US-WEST,free
CUST0036,US-EAST,enterprise
CUST0037,MENA,free
CUST0038,US-EAST,premium
CUST0039,US-WEST,standard
CUST0040,EU,enterprise
CUST0041,APAC,free
CUST0042,EU,free
CUST0043,MENA,free
CUST0044,EU,enterprise
CUST0045,MENA,free
CUST0046,APAC,standard
CUST0047,APAC,premium
CUST0048,MENA,premium
CUST0049,US-EAST,standard
CUST0050,US-WEST,enterprise
CUST0051,US-WEST,free
CUST0052,EU,enterprise
CUST0053,US-EAST,standard
CUST0054,EU,premium
CUST0055,US-WEST,premium
CUST0056,MENA,standard
CUST0057,APAC,premium
CUST0058,MENA,premium
CUST0059,US-EAST,free
CUST0060,EU,standard
CUST0061,APAC,enterprise
CUST0062,US-EAST,standard
CUST0063,MENA,enterprise
CUST0064,US-WEST,free
CUST0065,MENA,free
CUST0066,EU,free
CUST0067,US-WEST,premium
CUST0068,EU,enterprise
CUST0069,US-EAST,standard
CUST0070,US-EAST,free
CUST0071,APAC,premium
CUST0072,MENA,enterprise
CUST0073,EU,free
CUST0074,APAC,standard
CUST0075,APAC,standard
CUST0076,US-WEST,enterprise
CUST0077,EU,enterprise
CUST0078,US-EAST,premium
CUST0079,MENA,standard
CUST0080,EU,free
